consumer_id,category_code,category_name,district,division_name,division,dt_code,sanctioned_load_kw,connected_load_kw,meter_multiplier,years_as_consumer,payment_delay_avg_days,meter_status,theft_type,theft_label,consumption_Jan_kwh,bill_Jan_inr,energy_charge_Jan_inr,consumption_Feb_kwh,bill_Feb_inr,energy_charge_Feb_inr,consumption_Mar_kwh,bill_Mar_inr,energy_charge_Mar_inr,consumption_Apr_kwh,bill_Apr_inr,energy_charge_Apr_inr,consumption_May_kwh,bill_May_inr,energy_charge_May_inr,consumption_Jun_kwh,bill_Jun_inr,energy_charge_Jun_inr,consumption_Jul_kwh,bill_Jul_inr,energy_charge_Jul_inr,consumption_Aug_kwh,bill_Aug_inr,energy_charge_Aug_inr,consumption_Sep_kwh,bill_Sep_inr,energy_charge_Sep_inr,consumption_Oct_kwh,bill_Oct_inr,energy_charge_Oct_inr,consumption_Nov_kwh,bill_Nov_inr,energy_charge_Nov_inr,consumption_Dec_kwh,bill_Dec_inr,energy_charge_Dec_inr,avg_monthly_consumption_kwh,std_consumption,max_consumption_kwh,min_consumption_kwh,consumption_range_kwh,coefficient_of_variation,winter_avg_kwh,summer_avg_kwh,winter_summer_ratio,near_zero_months,avg_mom_change_pct,max_mom_change_pct,total_annual_consumption_kwh,total_annual_bill_inr,avg_monthly_bill_inr
0060400001011,DS,Domestic Supply,Shopian,DIV-I (SHOPIAN),Kashmir,SHP-170S/POLICE COLONY,2.5,2.9,1,17,12,Functioning,None,0,316.7,898.02,807.64,346.9,1035.96,939.01,247.6,582.41,507.06,211.7,418.43,350.89,185.4,342.0,278.1,174.8,325.31,262.2,155.6,295.07,233.4,162.6,306.1,243.9,181.0,335.07,271.5,233.0,515.73,443.55,271.7,692.49,611.89,294.5,796.62,711.08,231.8,61.38,346.9,155.6,191.3,0.2648,307.4,171.9,1.7882,0,13.76,28.73,2781.5,6543.21,545.27
0130400001012,DS,Domestic Supply,Udhampur,DIV-I (UDHAMPUR),Jammu,UDH-185T/MODEL TOWN,2.9,2.7,1,6,20,Functioning,None,0,354.2,1069.31,970.77,280.6,733.14,650.61,210.4,412.5,345.24,217.5,444.94,376.12,173.6,323.42,260.4,196.4,359.33,294.6,152.3,289.87,228.45,186.5,343.74,279.75,180.6,334.44,270.9,203.6,381.44,315.66,265.5,664.17,584.92,356.5,1079.82,980.77,231.5,65.28,356.5,152.3,204.2,0.282,314.2,174.1,1.8047,0,18.91,34.27,2777.7,6436.12,536.34
0110400001013,AP,Agricultural Pump,Jammu,DIV-V (SUNJWAN),Jammu,RHR-134T/GREEN LANE,26.4,23.9,1,27,13,Functioning,None,0,617.2,523.76,493.76,613.3,520.64,490.64,499.7,429.76,399.76,349.6,309.68,279.68,362.3,319.84,289.84,322.6,288.08,258.08,324.0,289.2,259.2,314.7,281.76,251.76,366.3,323.04,293.04,412.2,359.76,329.76,466.8,403.44,373.44,564.2,481.36,451.36,434.4,109.59,617.2,314.7,302.5,0.2523,565.4,336.3,1.6812,0,11.83,30.04,5212.9,4530.32,377.53
0060400001014,DS,Domestic Supply,Shopian,DIV-I (SHOPIAN),Kashmir,SHP-124T/HILAL PARK,3.5,3.0,1,26,17,Functioning,None,0,320.9,917.21,825.91,290.9,780.18,695.41,242.2,557.75,483.57,203.6,381.44,315.66,188.9,347.52,283.35,189.2,347.99,283.8,193.5,354.76,290.25,186.8,344.21,280.2,210.9,414.79,347.42,231.6,509.33,437.46,262.9,652.29,573.61,283.7,747.29,664.09,233.8,44.28,320.9,186.8,134.1,0.1894,289.6,190.5,1.5199,0,9.03,16.74,2805.1,6354.76,529.56
0060400001015,DS,Domestic Supply,Shopian,DIV-I (SHOPIAN),Kashmir,SHP-144T/OLD TOWN,2.0,2.2,1,30,114,Tampered,meter_bypass,1,111.0,224.82,166.5,67.9,156.94,101.85,87.4,187.66,131.1,44.2,119.62,66.3,52.9,133.32,79.35,44.7,120.4,67.05,35.4,105.75,53.1,43.2,118.04,64.8,57.4,140.4,86.1,51.0,130.33,76.5,96.2,201.51,144.3,105.0,215.38,157.5,66.4,25.45,111.0,35.4,75.6,0.3836,95.0,44.3,2.1434,0,30.62,88.63,796.3,1854.17,154.51
0200400001016,NDS,Non-Domestic Supply,Samba,DIV-I (SAMBA),Jammu,SMB-199S/LINK ROAD,9.2,8.2,1,28,89,Tampered,meter_bypass,1,248.9,1082.38,913.84,188.9,749.82,604.48,164.2,664.85,525.44,161.9,656.94,518.08,169.8,684.11,543.36,165.9,670.7,530.88,83.1,385.86,265.92,166.2,671.73,531.84,103.8,457.07,332.16,111.3,482.87,356.16,176.3,706.47,564.16,284.2,1294.88,1111.52,168.7,54.12,284.2,83.1,201.1,0.3208,224.6,139.6,1.6087,0,32.73,100.0,2024.5,8507.68,708.97
0030400001017,SP,Small Power,Anantnag,DIV-I (ANANTNAG),Kashmir,ANG-133S/MODEL TOWN,70.2,71.7,1,7,1,Functioning,None,0,5782.5,45508.03,42147.0,5313.6,41677.11,38583.36,4210.4,32663.97,30199.04,3536.6,27159.02,25078.16,3283.7,25092.83,23156.12,2848.9,21540.51,19851.64,2974.1,22563.4,20803.16,3369.6,25794.63,23808.96,2963.5,22476.79,20722.6,3504.5,26896.77,24834.2,4545.2,35399.28,32743.52,5406.1,42432.84,39286.36,3978.2,1001.6,5782.5,2848.9,2933.6,0.2518,5261.9,3035.6,1.7334,0,14.72,29.7,47738.7,369205.18,30767.1
0160400001018,NDS,Non-Domestic Supply,Doda,DIV-I (DODA),Jammu,DDA-138T/LINK ROAD,12.1,12.6,1,12,30,Functioning,None,0,973.9,6557.37,6006.86,806.2,5223.32,4765.88,726.9,4592.49,4179.06,579.8,3422.31,3090.52,482.6,2649.08,2371.24,432.0,2246.56,1996.8,445.4,2353.16,2095.96,478.7,2618.06,2342.38,567.1,3321.28,2996.54,607.8,3645.05,3297.72,739.2,4690.34,4270.08,804.3,5208.21,4751.82,637.0,164.64,973.9,432.0,541.9,0.2585,830.9,453.3,1.8329,0,12.84,21.62,7643.9,46527.23,3877.27
0190400001019,NDS,Non-Domestic Supply,Reasi,DIV-I (REASI),Jammu,RSI-064T/MODEL TOWN,15.6,18.2,1,15,21,Functioning,None,0,868.6,5719.71,5227.64,862.6,5671.98,5183.24,580.8,3430.26,3097.92,511.8,2881.37,2587.32,454.5,2425.55,2163.3,497.6,2768.41,2482.24,524.1,2979.22,2678.34,522.5,2966.49,2666.5,510.4,2870.23,2576.96,595.7,3548.79,3208.18,835.3,5454.81,4981.22,898.2,5955.18,5446.68,638.5,165.13,898.2,454.5,443.7,0.2586,866.2,492.1,1.7603,0,12.58,40.22,7662.1,46672.0,3889.33
0020400001020,SP,Small Power,Baramulla,DIV-III (PATTAN),Kashmir,PTN-071T/GREEN LANE,10.3,11.9,1,16,45,Tampered,direct_hooking,1,612.7,3770.38,3321.28,709.5,4436.36,3940.8,297.0,1860.23,1544.4,269.8,1708.18,1402.96,228.0,1474.52,1185.6,434.2,2627.18,2257.84,273.3,1727.75,1421.16,180.0,1206.2,936.0,532.2,3216.54,2806.08,150.6,1041.85,783.12,864.9,5505.51,4935.36,515.8,3103.7,2701.12,422.3,217.38,864.9,150.6,714.3,0.5147,675.7,311.8,2.1669,0,94.75,474.3,5068.0,31678.4,2639.87
0200400001021,DS,Domestic Supply,Samba,DIV-I (SAMBA),Jammu,SMB-084T/RIVERSIDE COLONY,4.0,3.6,1,17,25,Functioning,None,0,324.1,931.83,839.84,346.1,1032.32,935.54,214.5,431.22,363.07,208.8,405.19,338.28,203.7,381.89,316.09,192.8,353.66,289.2,173.4,323.11,260.1,164.7,309.4,247.05,198.5,362.64,297.75,204.7,386.46,320.44,245.0,570.54,495.75,335.5,983.89,889.42,234.3,61.46,346.1,164.7,181.4,0.2623,312.7,190.0,1.6459,0,13.69,38.02,2811.8,6472.15,539.35
0150400001022,DS,Domestic Supply,Poonch,DIV-I (POONCH),Jammu,PNC-125T/OLD TOWN,1.9,1.9,1,20,48,Tampered,direct_hooking,1,30.4,97.88,45.6,45.4,121.5,68.1,23.2,86.54,34.8,25.4,90.0,38.1,28.1,94.26,42.15,26.5,91.74,39.75,21.5,83.86,32.25,13.1,70.63,19.65,30.8,98.51,46.2,9.2,64.49,13.8,16.2,75.51,24.3,43.9,119.14,65.85,26.1,10.48,45.4,9.2,36.2,0.4007,34.0,25.4,1.3394,3,57.66,170.99,313.7,1094.06,91.17
0050400001023,DS,Domestic Supply,Pulwama,DIV-I (PULWAMA),Kashmir,PUL-200T/HILAL PARK,3.8,3.3,1,27,8,Functioning,None,0,326.0,940.51,848.1,320.3,914.47,823.3,246.4,576.93,501.84,207.6,399.71,333.06,177.4,329.4,266.1,180.5,334.29,270.75,190.7,350.35,286.05,164.7,309.4,247.05,181.1,335.23,271.65,206.0,392.4,326.1,311.4,873.82,784.59,358.6,1089.41,989.91,239.2,67.25,358.6,164.7,193.9,0.2811,329.1,182.9,1.7995,0,15.11,51.17,2870.7,6845.92,570.49
0110400001024,DS,Domestic Supply,Jammu,DIV-V (SUNJWAN),Jammu,GGL-182T/RIVERSIDE COLONY,3.9,4.5,1,13,19,Functioning,None,0,302.2,831.8,744.57,322.2,923.15,831.57,230.1,502.48,430.93,199.7,364.53,299.55,205.4,389.66,323.49,191.8,352.09,287.7,181.1,335.23,271.65,191.2,351.14,286.8,224.7,477.81,407.44,203.8,382.36,316.53,256.1,621.24,544.04,300.9,825.86,738.91,234.1,47.27,322.2,181.1,141.1,0.2019,295.4,192.8,1.5322,0,12.64,28.58,2809.2,6357.35,529.78
0070400001025,MP,Medium Power,Kulgam,DIV-I (KULGAM),Kashmir,KUL-034S/GULSHAN COLONY,406.9,471.9,1,24,80,Tampered,sudden_drop,1,26553.3,181593.51,164630.46,20568.6,140777.85,127525.32,20174.0,138086.68,125078.8,18198.5,124613.77,112830.7,12281.5,84259.83,76145.3,11366.8,78021.58,70474.16,3532.4,24590.97,21900.88,2799.8,19594.64,17358.76,2738.0,19173.16,16975.6,2933.6,20507.15,18188.32,6804.0,46903.28,42184.8,4588.8,31795.62,28450.56,11044.9,8094.45,26553.3,2738.0,23815.3,0.7329,14628.7,9060.2,1.6146,0,30.7,131.93,132539.3,909918.04,75826.5
0010400001026,SP,Small Power,Srinagar,DIV-VI (BATAMALOO),Kashmir,KRN-139S/MODEL TOWN,27.8,28.0,1,28,17,Functioning,None,0,5903.5,46496.59,43066.6,5288.0,41467.96,38388.8,3709.7,28573.25,26393.72,3920.3,30293.85,27994.28,3312.0,25324.04,23371.2,2855.3,21592.8,19900.28,2869.7,21710.45,20009.72,3065.2,23307.68,21495.52,3612.8,27781.58,25657.28,3706.9,28550.37,26372.44,4796.2,37449.95,34651.12,5208.9,40821.71,37787.64,4020.7,984.63,5903.5,2855.3,3048.2,0.2449,5299.1,3012.3,1.7592,0,12.82,29.85,48248.5,373370.23,31114.19
0030400001027,DS,Domestic Supply,Anantnag,DIV-II (ISLAMABAD),Kashmir,BIJ-070T/MAIN BAZAAR,1.6,1.4,1,17,109,Bypassed,meter_tampering,1,162.6,306.1,243.9,173.0,322.47,259.5,139.5,269.71,209.25,97.6,203.72,146.4,84.3,182.77,126.45,79.0,174.42,118.5,90.2,192.06,135.3,80.5,176.79,120.75,105.6,216.32,158.4,102.9,212.07,154.35,129.3,253.65,193.95,201.2,370.48,305.22,120.5,38.82,201.2,79.0,122.2,0.3222,166.5,84.5,1.9707,0,19.6,55.61,1445.7,2880.56,240.05
0130400001028,DS,Domestic Supply,Udhampur,DIV-II (RAMNAGAR),Jammu,UDH-039S/LINK ROAD,1.3,1.2,1,4,20,Functioning,None,0,319.1,908.99,818.09,317.6,902.14,811.56,256.3,622.15,544.9,214.7,432.14,363.94,180.7,334.6,271.05,158.7,299.95,238.05,204.0,383.27,317.4,164.4,308.93,246.6,214.0,428.95,360.9,212.5,422.1,354.38,251.6,600.68,524.46,317.5,901.68,811.12,234.3,55.9,319.1,158.7,160.4,0.2386,301.5,181.1,1.6642,0,17.04,30.17,2811.1,6545.58,545.47
0110400001029,DS,Domestic Supply,Jammu,DIV-IV (NAGROTA),Jammu,RHR-099T/NEW COLONY,4.2,5.0,1,15,22,Functioning,None,0,345.0,1027.29,930.75,303.8,839.11,751.53,271.7,692.49,611.89,241.9,556.38,482.26,161.8,304.83,242.7,186.9,344.37,280.35,152.1,289.56,228.15,176.7,328.3,265.05,197.3,360.75,295.95,243.7,564.59,490.09,294.9,798.45,712.81,347.5,1038.7,941.62,243.6,66.47,347.5,152.1,195.4,0.2729,322.8,166.9,1.9337,0,17.36,33.11,2923.3,7144.82,595.4
0100400001030,DS,Domestic Supply,Budgam,DIV-I (BUDGAM),Kashmir,BDM-029S/POLICE COLONY,3.9,3.4,1,22,6,Functioning,None,0,336.4,988.01,893.34,337.0,990.75,895.95,228.7,496.08,424.84,202.1,374.59,309.13,201.5,371.85,306.52,153.7,292.08,230.55,193.1,354.13,289.65,187.0,344.53,280.5,185.2,341.69,277.8,230.2,502.94,431.37,242.2,557.75,483.57,341.2,1009.93,914.22,236.5,62.85,341.2,153.7,187.5,0.2657,314.2,182.8,1.7191,0,15.28,40.88,2838.3,6624.33,552.03
0110400001031,NDS,Non-Domestic Supply,Jammu,DIV-II (REHARI),Jammu,GGL-166S/MAIN BAZAAR,12.5,12.3,1,8,0,Functioning,None,0,975.8,6572.49,6020.92,854.3,5605.96,5121.82,723.8,4567.83,4156.12,582.1,3440.61,3107.54,460.0,2469.3,2204.0,510.3,2869.44,2576.22,457.7,2451.0,2186.98,469.1,2541.69,2271.34,586.7,3477.2,3141.58,578.2,3409.58,3078.68,827.5,5392.76,4923.5,915.6,6093.6,5575.44,661.8,180.93,975.8,457.7,518.1,0.2734,893.3,476.0,1.8767,0,15.66,43.12,7941.1,48891.46,4074.29
0130400001032,DS,Domestic Supply,Udhampur,DIV-I (UDHAMPUR),Jammu,RMN-188S/GULSHAN COLONY,2.3,2.4,1,21,101,Slow Running,direct_hooking,1,35.1,105.28,52.65,40.7,114.1,61.05,14.2,72.36,21.3,24.9,89.22,37.35,15.1,73.78,22.65,12.3,69.37,18.45,14.3,72.52,21.45,14.9,73.47,22.35,36.3,107.17,54.45,11.2,67.64,16.8,21.3,83.55,31.95,27.6,93.47,41.4,22.3,9.97,40.7,11.2,29.5,0.4467,31.2,13.9,2.2428,6,51.57,143.62,267.9,1021.93,85.16
0070400001033,NDS,Non-Domestic Supply,Kulgam,DIV-I (KULGAM),Kashmir,KUL-052S/LINK ROAD,6.3,6.9,1,22,30,Functioning,None,0,891.5,5901.88,5397.1,823.9,5364.12,4896.86,674.5,4175.65,3791.3,570.7,3349.92,3023.18,516.3,2917.17,2620.62,499.9,2786.7,2499.26,468.0,2532.94,2263.2,488.5,2696.02,2414.9,525.3,2988.76,2687.22,576.6,3396.85,3066.84,675.6,4184.4,3799.44,932.9,6231.22,5703.46,637.0,156.7,932.9,468.0,464.9,0.246,831.0,494.7,1.6796,0,12.47,38.08,7643.7,46525.63,3877.14
0110400001034,DS,Domestic Supply,Jammu,DIV-I (JAMMU CITY),Jammu,NGT-095S/RIVERSIDE COLONY,4.3,4.6,1,17,19,Functioning,None,0,344.0,1022.72,926.4,295.3,800.29,714.56,239.3,544.5,470.96,216.6,440.82,372.21,165.9,311.29,248.85,200.1,365.45,300.44,162.4,305.78,243.6,177.4,329.4,266.1,226.4,485.58,414.84,202.3,375.51,310.01,305.4,846.41,758.49,287.5,764.65,680.62,235.2,57.24,344.0,162.4,181.6,0.2433,308.0,176.1,1.749,0,19.07,50.96,2822.6,6592.4,549.37
0110400001035,NDS,Non-Domestic Supply,Jammu,DIV-I (JAMMU CITY),Jammu,NGT-180T/MODEL TOWN,17.0,14.9,1,7,30,Functioning,None,0,872.6,5751.53,5257.24,765.6,4900.35,4465.44,637.1,3878.13,3514.54,569.5,3340.37,3014.3,470.7,2554.42,2283.18,497.1,2764.43,2478.54,491.2,2717.5,2434.88,533.9,3057.17,2750.86,561.1,3273.55,2952.14,606.9,3637.89,3291.06,797.9,5157.29,4704.46,926.1,6177.13,5653.14,644.1,150.34,926.1,470.7,455.4,0.2334,840.5,486.3,1.7283,0,12.12,31.47,7729.7,47209.76,3934.15
0010400001036,DS,Domestic Supply,Srinagar,DIV-III (RAINAWARI),Kashmir,BEM-093T/LINK ROAD,3.0,3.2,1,18,19,Functioning,None,0,326.8,944.16,851.58,310.7,870.62,781.54,244.7,569.16,494.44,239.2,544.05,470.52,184.5,340.59,276.75,169.9,317.59,254.85,185.3,341.85,277.95,177.9,330.19,266.85,213.9,428.49,360.47,232.2,512.07,440.07,280.3,731.78,649.31,307.3,855.1,766.75,239.4,53.45,326.8,169.9,156.9,0.2233,306.3,179.9,1.7025,0,11.94,22.87,2872.7,6785.65,565.47
0190400001037,NDS,Non-Domestic Supply,Reasi,DIV-I (REASI),Jammu,RSI-118T/GREEN LANE,19.7,20.6,1,17,4,Functioning,None,0,970.2,6527.94,5979.48,797.4,5153.32,4700.76,654.2,4014.16,3641.08,549.5,3181.27,2866.3,560.8,3271.16,2949.92,431.6,2243.38,1993.84,500.8,2793.86,2505.92,499.2,2781.14,2494.08,517.4,2925.92,2628.76,599.4,3578.23,3235.56,780.7,5020.47,4577.18,940.9,6294.86,5762.66,650.2,172.45,970.2,431.6,538.6,0.2652,872.3,497.7,1.7525,0,14.86,30.25,7802.1,47785.71,3982.14
0010400001038,MP,Medium Power,Srinagar,DIV-VI (BATAMALOO),Kashmir,BTM-021S/HILAL PARK,181.2,169.3,1,10,2,Functioning,None,0,25728.2,175966.32,159514.84,25148.9,172015.5,155923.18,18253.8,124990.92,113173.56,14861.0,101852.02,92138.2,13875.9,95133.64,86030.58,13879.9,95160.92,86055.38,13540.4,92845.53,83950.48,15419.6,105661.67,95601.52,16460.4,112759.93,102054.48,18873.2,129215.22,117013.84,19364.0,132562.48,120056.8,25237.7,172621.11,156473.74,18386.9,4442.79,25728.2,13540.4,12187.8,0.2416,23869.7,13765.4,1.734,0,11.42,30.33,220643.0,1510785.26,125898.77
0020400001039,DS,Domestic Supply,Baramulla,DIV-II (SOPORE),Kashmir,SPR-115S/NEW COLONY,4.5,5.1,1,8,23,Functioning,None,0,334.6,979.79,885.51,324.0,931.37,839.4,221.0,460.92,391.35,236.4,531.26,458.34,188.1,346.26,282.15,167.9,314.44,251.85,153.4,291.61,230.1,177.8,330.04,266.7,185.3,341.85,277.95,221.6,463.66,393.96,263.6,655.49,576.66,278.5,723.54,641.47,229.3,57.48,334.6,153.4,181.2,0.2506,300.2,169.8,1.7678,0,13.28,31.79,2752.2,6370.23,530.85
0030400001040,DS,Domestic Supply,Anantnag,DIV-II (ISLAMABAD),Kashmir,ANG-019T/POLICE COLONY,2.3,2.3,1,24,1,Functioning,None,0,333.3,973.85,879.86,307.9,857.83,769.36,241.7,555.47,481.39,212.8,423.46,355.68,201.4,371.39,306.09,186.0,342.95,279.0,173.0,322.47,259.5,168.6,315.54,252.9,197.9,361.69,296.85,222.6,468.23,398.31,284.9,752.78,669.31,358.1,1087.13,987.74,240.7,61.97,358.1,168.6,189.5,0.2575,321.1,186.8,1.7187,0,13.38,27.99,2888.2,6832.79,569.4
0110400001041,DS,Domestic Supply,Jammu,DIV-V (SUNJWAN),Jammu,JMU-029S/NEW COLONY,3.7,3.7,1,12,6,Functioning,None,0,320.7,916.29,825.04,329.9,958.31,865.06,232.1,511.62,439.63,199.6,364.37,299.4,215.6,436.25,367.86,183.1,338.38,274.65,205.1,388.29,322.18,174.7,325.15,262.05,180.5,334.29,270.75,195.4,357.75,293.1,290.1,776.54,691.94,291.6,783.38,698.46,234.9,54.76,329.9,174.7,155.2,0.2332,308.1,201.3,1.5307,0,14.27,48.46,2818.4,6490.62,540.88
0180400001042,SP,Small Power,Ramban,DIV-I (RAMBAN),Jammu,RBN-066S/GULSHAN COLONY,62.4,53.3,1,23,25,Functioning,None,0,4837.9,37790.64,34968.04,5192.0,40683.64,37659.2,3658.5,28154.95,26004.6,3422.3,26225.19,24209.48,3212.9,24514.39,22618.04,2676.5,20132.01,18541.4,2801.2,21150.8,19489.12,2863.5,21659.79,19962.6,3235.3,24697.4,22788.28,4021.3,31119.02,28761.88,4321.9,33574.92,31046.44,5460.4,42876.47,39699.04,3808.6,915.4,5460.4,2676.5,2783.9,0.2403,4953.0,2896.9,1.7098,0,13.1,29.54,45703.7,352579.22,29381.6
